,Unnamed: 0,Name,Manufacturer,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Engine CC,Power,Seats,Mileage Km/L,Price,AverageYearlySales
581,584,BMW X1 sDrive 20d Exclusive,BMW,Mumbai,2012,15200,Diesel,Automatic,First,1995,177.0,5,15.06,13.5,738283
582,585,Toyota Fortuner 4x2 AT,Toyota,Mumbai,2015,43690,Diesel,Automatic,First,2982,168.5,7,12.55,17.11,323638
586,589,Mercedes-Benz S Class 2005 2013 S 350 L,MercedesBenz,Bangalore,2006,47088,Petrol,Automatic,Second,3498,364.9,5,10.13,19.0,496979
588,591,Mahindra Quanto C2,Mahindra,Hyderabad,2013,80430,Diesel,Manual,Second,1493,100.0,7,17.21,3.3,795493
590,593,BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,BMW,Mumbai,2014,19000,Diesel,Automatic,First,2993,258.0,7,15.97,44.0,320053
592,595,Maruti Swift LDI Optional,Maruti,Kochi,2018,52010,Diesel,Manual,First,1248,74.0,5,25.2,6.2,573464
594,597,Mitsubishi Pajero 2.8 SFX BSIV Dual Tone,Mitsubishi,Mumbai,2008,93000,Diesel,Manual,Third,2835,107.2,6,10.5,5.45,506668
595,598,Jaguar XF 2.2 Litre Executive,Jaguar,Delhi,2016,10000,Diesel,Automatic,First,2179,187.7,5,16.36,44.0,670326
597,600,Skoda Octavia Ambition 2.0 TDI AT,Skoda,Mumbai,2015,50000,Diesel,Automatic,First,1968,141.0,5,19.3,11.69,448254
598,601,Toyota Corolla Altis VL AT,Toyota,Bangalore,2018,1331,Petrol,Automatic,First,1798,138.03,5,14.28,20.0,285232
599,602,Maruti Omni 8 Seater BSII,Maruti,Pune,2010,60000,Petrol,Manual,First,796,35.0,8,19.7,1.45,651211
600,603,Mercedes-Benz GLC 220d 4MATIC Style,MercedesBenz,Mumbai,2018,10003,Diesel,Automatic,First,2143,170.0,5,17.9,48.5,608666
601,604,Volkswagen Vento 1.5 TDI Highline AT,Volkswagen,Mumbai,2016,25000,Diesel,Automatic,First,1498,108.5,5,21.5,9.45,254761
602,605,Mahindra XUV500 W10 2WD,Mahindra,Ahmedabad,2015,73000,Diesel,Manual,First,2179,140.0,7,16.0,12.5,749088
603,606,Nissan Terrano XL 85 PS,Nissan,Hyderabad,2014,59962,Diesel,Manual,First,1461,83.8,5,20.45,6.9,317856
604,607,Hyundai Verna 1.6 SX CRDi (O),Hyundai,Jaipur,2012,72000,Diesel,Manual,Second,1582,126.32,5,22.32,5.8,660242
605,608,BMW 5 Series 2013-2017 530d M Sport,BMW,Coimbatore,2016,20967,Diesel,Automatic,First,2993,258.0,5,14.69,44.56,643303
606,609,Mahindra Scorpio S4 Plus,Mahindra,Bangalore,2015,35000,Diesel,Manual,Second,2179,120.0,7,15.4,8.5,723034
607,610,Hyundai Verna 1.6 CRDi SX,Hyundai,Coimbatore,2017,38056,Diesel,Manual,First,1582,126.2,5,23.9,10.7,253295
609,612,Chevrolet Aveo U-VA 1.2 LT,Chevrolet,Coimbatore,2010,64236,Petrol,Manual,First,1150,76.0,5,14.7,2.44,450730
610,613,Mahindra Bolero ZLX BSIII,Mahindra,Kolkata,2000,124000,Diesel,Manual,First,2523,63.0,7,13.6,1.95,548094
611,614,Hyundai Xcent 1.2 Kappa S,Hyundai,Mumbai,2014,7400,Petrol,Manual,First,1197,82.0,5,19.1,4.35,719623
615,618,Maruti Vitara Brezza ZDi,Maruti,Pune,2016,21558,Diesel,Manual,First,1248,88.5,5,24.3,8.9,649600
616,619,BMW 3 Series 320d Prestige,BMW,Mumbai,2013,37500,Diesel,Automatic,First,1995,184.0,5,18.88,16.75,461206
617,620,Hyundai EON Sportz,Hyundai,Coimbatore,2016,14077,Petrol,Manual,First,814,55.2,5,21.1,3.95,793207
619,622,Honda Accord 2.4 MT,Honda,Kochi,2011,54316,Petrol,Manual,Second,2354,177.6,5,12.8,4.29,501020
620,623,Mahindra Xylo E8,Mahindra,Hyderabad,2009,90764,Diesel,Manual,First,2498,112.0,8,14.0,3.85,704873
622,625,Honda City V MT,Honda,Pune,2013,127000,Petrol,Manual,Second,1497,116.3,5,16.8,4.5,630296
626,629,Mahindra Bolero DI BSII,Mahindra,Chennai,2006,82453,Diesel,Manual,First,2523,63.0,8,13.6,2.9,209954
627,630,Maruti Esteem Vxi - BSIII,Maruti,Chennai,2007,30441,Petrol,Manual,First,1298,85.0,5,15.9,1.45,712733
628,631,Hyundai Santro LS zipPlus,Hyundai,Chennai,2002,70000,Petrol,Manual,Third,1086,74.0,5,0.0,0.65,640570
629,632,Mini Cooper 5 DOOR D,Mini,Mumbai,2016,11000,Diesel,Automatic,First,1496,113.98,5,20.7,29.5,736625
631,634,Hyundai i20 Sportz Option,Hyundai,Delhi,2013,48454,Petrol,Manual,Second,1197,80.0,5,17.0,3.5,246652
632,635,Tata Safari Storme VX Varicor 400,Tata,Jaipur,2017,37000,Diesel,Manual,First,2179,154.0,7,14.1,11.25,381834
633,636,Honda BR-V i-DTEC VX MT,Honda,Kochi,2017,32249,Diesel,Manual,First,1498,98.6,7,21.9,10.79,557908
634,637,Volkswagen Jetta 2013-2015 2.0L TDI Highline,Volkswagen,Kolkata,2013,58000,Diesel,Manual,First,1968,138.03,5,19.33,5.9,615281
635,638,Hyundai Xcent 1.2 Kappa S Option,Hyundai,Jaipur,2017,28360,Petrol,Manual,First,1197,81.86,5,19.1,5.12,614380
636,639,Maruti Ignis 1.2 Alpha,Maruti,Mumbai,2017,7000,Petrol,Manual,First,1197,81.8,5,20.89,5.7,545874
637,640,BMW 5 Series 2013-2017 520d Luxury Line,BMW,Coimbatore,2016,19658,Diesel,Automatic,First,1995,190.0,5,18.12,35.84,398999
638,641,Ford Ikon 1.3 CLXi,Ford,Hyderabad,2007,92000,Petrol,Manual,First,1299,70.0,5,13.8,1.25,415012
640,643,Hyundai Verna 1.6 CRDI,Hyundai,Coimbatore,2016,37882,Diesel,Manual,First,1582,126.3,5,22.32,9.19,287220
641,644,BMW 3 Series 320d Highline,BMW,Bangalore,2014,69330,Diesel,Automatic,First,1995,181.0,5,16.07,23.5,551646
642,645,Mercedes-Benz E-Class 2009-2013 E200 CGI Blue Efficiency,MercedesBenz,Delhi,2011,61000,Petrol,Automatic,First,1796,185.0,5,12.3,12.5,236047
643,646,Chevrolet Beat Option Pack,Chevrolet,Kolkata,2010,35000,Petrol,Manual,Second,1199,79.4,5,18.6,1.5,222149
644,647,Hyundai Santro Xing XP,Hyundai,Jaipur,2004,200000,Petrol,Manual,First,1086,74.0,5,0.0,0.8,429832
645,648,Tata Indica DLS,Tata,Jaipur,2009,82000,Diesel,Manual,Second,1405,74.0,5,13.5,0.75,750768
647,650,Maruti Ciaz ZDi Plus SHVS,Maruti,Jaipur,2017,36381,Diesel,Manual,First,1248,88.5,5,28.09,9.75,364198
648,651,Mercedes-Benz New C-Class C 250 CDI Avantgarde,MercedesBenz,Coimbatore,2017,25559,Diesel,Automatic,First,2143,201.15,5,19.71,37.93,690047
650,653,Toyota Fortuner 4x2 4 Speed AT,Toyota,Jaipur,2015,94000,Diesel,Automatic,First,2982,169.0,7,11.5,20.5,531449
652,655,Jaguar XJ 2.0L Portfolio,Jaguar,Mumbai,2017,10501,Petrol,Automatic,First,1999,237.4,5,9.43,75.0,758592
653,656,Hyundai i20 1.4 Magna ABS,Hyundai,Chennai,2009,47000,Diesel,Manual,First,1396,90.0,5,21.9,2.8,629951
655,658,Toyota Corolla Executive (HE),Toyota,Chennai,2007,89000,Petrol,Manual,First,1794,125.0,5,13.4,3.0,474589
657,660,Toyota Innova 2.5 ZX Diesel 7 Seater BSIII,Toyota,Mumbai,2014,35000,Diesel,Manual,First,2494,100.6,7,12.99,12.75,251402
658,661,Hyundai Grand i10 CRDi Sportz,Hyundai,Jaipur,2014,64000,Diesel,Manual,First,1120,70.0,5,24.0,4.15,303225
659,662,Volkswagen Vento IPL II Petrol Highline AT,Volkswagen,Mumbai,2013,36000,Petrol,Automatic,First,1598,105.0,5,14.8,4.65,572485
660,663,Toyota Innova 2.5 VX (Diesel) 7 Seater BS IV,Toyota,Delhi,2012,78600,Diesel,Manual,First,2494,102.0,7,12.8,8.9,467969
661,664,Hyundai Verna CRDi SX,Hyundai,Jaipur,2008,170000,Diesel,Manual,Second,1493,110.0,5,16.8,1.5,526706
666,669,Honda City i VTEC S,Honda,Pune,2014,58407,Petrol,Manual,First,1497,117.3,5,17.4,6.16,457383
667,670,Maruti Ciaz ZXi,Maruti,Pune,2014,49500,Petrol,Manual,First,1373,91.1,5,20.73,6.0,544480
668,671,Nissan Sunny XV CVT,Nissan,Kochi,2013,37199,Petrol,Automatic,First,1498,99.6,5,17.5,5.43,642611
672,675,Mercedes-Benz New C-Class C 220 CDI Elegance AT,MercedesBenz,Bangalore,2007,39037,Diesel,Automatic,First,2143,170.0,5,14.84,9.25,228625
674,677,Hyundai i10 Magna Optional 1.1L,Hyundai,Hyderabad,2008,80400,Petrol,Manual,First,1086,66.7,5,16.0,2.3,246268
676,679,Maruti Ciaz VDI SHVS,Maruti,Kochi,2017,41217,Diesel,Manual,First,1248,88.5,5,28.09,7.4,381895
677,680,Ford Ikon 1.3 Flair,Ford,Pune,2006,98293,Petrol,Manual,Second,1299,70.0,5,13.8,1.55,485807
678,681,Volkswagen Polo 1.2 MPI Highline,Volkswagen,Pune,2017,54000,Petrol,Manual,Second,1199,74.0,5,16.2,6.0,431810
679,682,Honda Jazz 1.2 V i VTEC,Honda,Chennai,2016,17377,Petrol,Manual,First,1199,88.7,5,18.7,5.9,446911
680,683,Honda Amaze EX i-Dtech,Honda,Bangalore,2013,33800,Diesel,Manual,Second,1498,98.6,5,25.8,4.7,384828
684,687,Skoda Superb 1.8 TSI MT,Skoda,Hyderabad,2010,53293,Petrol,Manual,First,1798,160.0,5,13.14,6.0,472003
685,688,Maruti Vitara Brezza LDi Option,Maruti,Pune,2017,38000,Diesel,Manual,First,1248,88.5,5,24.3,7.99,328898
686,689,Hyundai i20 Asta,Hyundai,Bangalore,2009,64000,Petrol,Manual,Second,1197,80.0,5,17.0,4.1,565435
687,690,Maruti Alto K10 VXI AGS,Maruti,Hyderabad,2017,25058,Petrol,Automatic,First,998,67.1,5,24.07,3.95,467364
690,693,Mercedes-Benz SLK-Class SLK 350,MercedesBenz,Coimbatore,2016,22732,Petrol,Automatic,First,3498,306.0,2,18.1,55.54,657206
692,695,Ford EcoSport 1.5 TDCi Titanium,Ford,Bangalore,2013,62084,Diesel,Manual,First,1498,98.59,5,22.77,6.6,786908
693,696,Volkswagen Passat Highline DSG,Volkswagen,Kolkata,2012,39273,Diesel,Automatic,First,1968,140.0,5,14.3,6.99,597287
696,699,Chevrolet Aveo 1.4,Chevrolet,Pune,2006,78000,Petrol,Manual,Third,1399,92.7,5,14.49,1.2,418037
697,700,Maruti Ritz LXi,Maruti,Coimbatore,2013,57717,Petrol,Manual,First,1197,85.8,5,18.5,4.31,278651
698,701,Land Rover Freelander 2 SE,Land,Chennai,2011,109000,Diesel,Automatic,First,2179,147.51,5,12.39,16.5,488497
699,702,Hyundai Grand i10 Asta,Hyundai,Coimbatore,2017,74515,Petrol,Manual,First,1197,82.0,5,18.9,5.64,421298
700,703,Ford Endeavour 3.2 Trend AT 4X4,Ford,Coimbatore,2017,50484,Diesel,Automatic,First,3198,197.2,7,10.91,31.12,358311
701,704,Audi Q5 2008-2012 2.0 TDI,Audi,Kochi,2013,13452,Diesel,Automatic,First,1968,167.6,5,12.8,25.46,342840
702,705,Hyundai Verna 1.6 VTVT,Hyundai,Kochi,2017,37688,Petrol,Manual,First,1591,121.3,5,17.01,7.88,736602
703,706,Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,MercedesBenz,Chennai,2017,34000,Diesel,Automatic,First,2143,204.0,5,13.0,36.0,498762
704,707,Mercedes-Benz M-Class ML 350 4Matic,MercedesBenz,Pune,2014,120000,Diesel,Automatic,First,2987,165.0,5,0.0,30.0,549142
705,708,Maruti Swift Dzire ZXi,Maruti,Pune,2008,64000,Petrol,Manual,Second,1298,85.8,5,17.5,2.85,464040
706,709,Honda City 1.3 EXI S,Honda,Delhi,2011,100000,Petrol,Manual,First,1343,90.0,5,13.0,3.5,670322
709,712,BMW X5 xDrive 30d Design Pure Experience 5 Seater,BMW,Hyderabad,2015,69000,Diesel,Automatic,First,2993,258.0,5,15.97,54.0,512712
710,713,Hyundai Xcent 1.2 Kappa SX Option,Hyundai,Kochi,2015,41721,Petrol,Manual,First,1197,82.0,5,19.1,4.7,676693
711,714,Maruti Dzire AMT ZXI Plus,Maruti,Hyderabad,2017,13000,Petrol,Automatic,First,1197,81.8,5,22.0,8.5,605377
712,715,BMW 3 Series 320d Corporate Edition,BMW,Kolkata,2013,38998,Diesel,Automatic,First,1995,181.0,4,16.07,17.0,795194
715,718,Mini Cooper S,Mini,Pune,2012,37000,Petrol,Automatic,Second,1598,181.0,4,13.6,17.0,692333
719,722,Nissan Terrano XV Premium 110 PS,Nissan,Kolkata,2016,53000,Diesel,Manual,First,1461,108.5,5,19.01,6.25,673703
720,723,BMW 3 Series 320d Luxury Plus,BMW,Ahmedabad,2015,100000,Diesel,Automatic,First,1995,184.0,5,18.88,24.75,279549
721,724,Maruti Swift Dzire VXI,Maruti,Mumbai,2015,19000,Petrol,Manual,First,1197,83.14,5,20.85,5.25,725997
722,725,Skoda Yeti Elegance 4X2,Skoda,Jaipur,2016,84000,Diesel,Manual,First,1968,108.5,5,17.72,11.0,366239
723,726,Ford EcoSport 1.5 Ti VCT AT Titanium,Ford,Kochi,2018,37630,Petrol,Automatic,First,1499,110.4,5,15.63,9.1,318540
725,728,Maruti S Cross DDiS 200 Sigma Option,Maruti,Pune,2017,32000,Diesel,Manual,First,1248,88.5,5,15.0,8.5,774589
728,731,Hyundai Grand i10 1.2 CRDi Magna,Hyundai,Kolkata,2017,14000,Diesel,Manual,First,1186,73.97,5,24.0,4.9,528474
731,735,Maruti Baleno Zeta 1.3,Maruti,Coimbatore,2018,25433,Diesel,Manual,First,1248,74.0,5,27.39,7.83,328861
732,736,Tata Safari Storme 2012-2015 LX,Tata,Kochi,2015,40611,Diesel,Manual,First,2179,138.1,7,14.0,8.15,329361
733,737,Hyundai Accent GLS,Hyundai,Bangalore,2008,72000,Petrol,Manual,Second,1495,94.0,5,13.2,2.0,216465
734,738,Maruti Swift LDI SP Limited Edition,Maruti,Hyderabad,2016,54631,Diesel,Manual,First,1248,74.0,5,25.2,6.25,586594
738,742,Maruti Celerio VXI AMT,Maruti,Delhi,2014,35214,Petrol,Automatic,Second,998,67.04,5,23.1,3.2,284889
740,744,Volkswagen Vento Petrol Highline,Volkswagen,Kochi,2012,121377,Petrol,Manual,First,1598,103.6,5,15.04,3.8,750210
741,745,Volkswagen Jetta 2007-2011 1.9 Highline TDI,Volkswagen,Chennai,2009,100970,Diesel,Automatic,First,1896,105.0,5,15.5,4.0,412753
743,747,Tata Indica V2 DLS,Tata,Chennai,2008,77650,Diesel,Manual,First,1396,53.5,5,17.2,1.15,689206
745,750,Honda City i-VTEC CVT VX,Honda,Bangalore,2015,18955,Petrol,Automatic,First,1497,117.3,5,18.0,10.65,405609
748,753,Chevrolet Cruze LTZ,Chevrolet,Chennai,2011,73000,Diesel,Manual,Third,1991,147.9,5,18.3,4.2,388062
756,761,Tata Nano Lx BSIV,Tata,Chennai,2011,35000,Petrol,Manual,First,624,37.48,4,25.4,1.6,312145
757,762,Ford Figo Titanium Diesel,Ford,Kolkata,2015,72035,Diesel,Manual,First,1498,99.0,5,25.5,2.5,665965
758,763,Fiat Linea Emotion,Fiat,Jaipur,2011,48500,Petrol,Manual,First,1368,90.0,5,16.0,2.5,566164
759,764,Ford Figo Aspire 1.2 Ti-VCT Trend,Ford,Coimbatore,2017,28854,Petrol,Manual,First,1196,86.8,5,18.16,6.7,565003
760,765,Maruti Baleno LXI,Maruti,Hyderabad,2005,92450,Petrol,Manual,First,1590,94.0,5,15.4,1.2,536240
763,768,Mahindra Scorpio 2.6 DX,Mahindra,Chennai,2005,50000,Diesel,Manual,First,2609,116.6,8,12.7,1.94,288941
765,770,Chevrolet Cruze LTZ AT,Chevrolet,Ahmedabad,2011,60000,Diesel,Automatic,First,1991,147.9,4,18.1,3.8,295859
766,771,Toyota Innova 2.5 V Diesel 8-seater,Toyota,Chennai,2016,50000,Diesel,Manual,First,2494,102.0,8,12.8,15.65,542214
769,774,Toyota Innova 2.5 GX (Diesel) 8 Seater BS IV,Toyota,Ahmedabad,2013,94000,Diesel,Manual,First,2494,102.0,8,12.8,8.85,613883
775,780,Ford Fiesta 1.4 Duratorq ZXI,Ford,Pune,2007,112808,Diesel,Manual,Second,1399,68.0,5,17.8,2.05,301955
778,783,Mercedes-Benz A Class A180 CDI,MercedesBenz,Mumbai,2013,37000,Diesel,Automatic,First,2143,107.3,5,20.0,14.0,788496
781,786,Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,MercedesBenz,Delhi,2013,70000,Diesel,Automatic,First,2148,170.0,5,10.0,15.8,632464
782,787,Ford EcoSport 1.5 Ti VCT MT Titanium BE,Ford,Mumbai,2017,4018,Petrol,Manual,First,1499,110.4,5,18.88,8.25,397589
783,788,Renault Koleos 2.0 Diesel,Renault,Delhi,2013,70000,Diesel,Automatic,Second,1995,148.0,5,13.73,8.5,236337
785,790,Maruti Omni E 8 Str STD,Maruti,Hyderabad,2013,26875,Petrol,Manual,First,796,34.2,8,16.8,2.35,287286
787,792,Ford Endeavour XLT TDCi 4X2,Ford,Jaipur,2008,205000,Diesel,Manual,Second,2499,141.0,7,13.1,3.9,501444
789,794,Hyundai i20 Magna 1.2,Hyundai,Mumbai,2018,19500,Petrol,Manual,First,1197,81.83,5,18.6,5.85,303442
791,796,Mahindra XUV500 W9 AT,Mahindra,Coimbatore,2019,19654,Diesel,Automatic,First,2179,155.0,7,14.0,17.63,434598
792,797,Maruti SX4 S Cross DDiS 200 Zeta,Maruti,Mumbai,2017,26000,Diesel,Manual,First,1248,88.5,5,23.65,9.75,731608
801,806,Ford Endeavour 3.2 Titanium AT 4X4,Ford,Coimbatore,2017,59636,Diesel,Automatic,First,3198,197.0,7,10.91,29.2,479764
803,808,Honda City 1.5 V MT Sunroof,Honda,Mumbai,2013,60669,Petrol,Manual,First,1497,116.3,5,16.8,4.95,417743
804,809,Honda Amaze VX Diesel,Honda,Hyderabad,2018,12000,Diesel,Manual,First,1498,98.6,5,27.4,8.5,626794
806,811,Honda Mobilio S i DTEC,Honda,Chennai,2015,65000,Diesel,Manual,First,1498,98.6,7,24.2,5.5,537145
809,814,Toyota Qualis FS B2,Toyota,Pune,2004,77757,Diesel,Manual,Second,2446,75.0,10,13.1,3.5,774222
813,818,BMW 5 Series 2003-2012 530d Highline,BMW,Coimbatore,2013,108640,Diesel,Automatic,First,2993,235.0,5,11.5,23.29,770332
814,819,BMW 3 Series 320d M Sport,BMW,Mumbai,2016,38000,Diesel,Automatic,First,1995,190.0,5,22.69,23.99,440000
815,820,Chevrolet Aveo 1.4 LT ABS BSIV,Chevrolet,Pune,2010,80000,Petrol,Manual,First,1399,92.7,5,14.49,1.79,778827
816,821,Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,MercedesBenz,Mumbai,2011,47000,Diesel,Automatic,Second,2143,203.0,5,14.21,13.9,442814
820,825,Volkswagen Ameo 1.5 TDI Highline,Volkswagen,Mumbai,2017,51000,Diesel,Manual,First,1498,108.62,5,21.66,6.45,526119
824,829,Toyota Etios Liva G,Toyota,Mumbai,2012,29605,Petrol,Manual,First,1197,74.0,5,18.3,2.44,345821
826,831,Hyundai i20 1.4 Asta,Hyundai,Chennai,2017,12000,Diesel,Manual,First,1396,88.73,5,22.54,7.3,240094
827,832,Maruti Wagon R LXI Optional,Maruti,Kolkata,2014,25000,Petrol,Manual,First,998,67.04,5,20.51,2.75,640797
828,833,Hyundai i20 1.4 Asta Option,Hyundai,Bangalore,2017,43000,Diesel,Manual,Second,1396,88.73,5,22.54,8.2,741143
829,834,Volkswagen Polo GT TSI,Volkswagen,Mumbai,2015,57022,Petrol,Automatic,First,1197,103.6,5,17.21,6.51,778776
833,838,Mahindra Xylo H4,Mahindra,Chennai,2016,215000,Diesel,Manual,First,2179,118.3,7,14.02,7.5,778043
834,839,Maruti Alto Green LXi (CNG),Maruti,Delhi,2012,65537,CNG,Manual,First,796,38.4,5,26.83,2.1,615227
836,841,Skoda Octavia Elegance 2.0 TDI AT,Skoda,Mumbai,2014,84000,Diesel,Automatic,First,1968,141.0,5,19.3,10.75,676527
844,849,Audi A6 3.0 TDI quattro,Audi,Coimbatore,2009,48040,Diesel,Automatic,Second,2967,241.38,5,16.77,12.07,641884
846,851,Hyundai Verna 1.6 CRDi EX AT,Hyundai,Delhi,2013,66000,Diesel,Automatic,First,1582,126.3,5,22.32,5.7,314050
847,852,Hyundai Santro Xing GL Plus,Hyundai,Kolkata,2013,31000,Petrol,Manual,First,1086,62.1,5,17.92,1.75,257985
848,853,Audi A4 2.0 TDI,Audi,Delhi,2011,46000,Diesel,Automatic,Second,1968,147.51,5,16.55,10.99,591185
850,855,Skoda Laura 1.9 TDI MT Ambiente,Skoda,Jaipur,2009,100000,Diesel,Manual,First,1896,105.0,5,17.0,3.11,204498
851,856,Honda CR-V 2.0L 2WD AT,Honda,Coimbatore,2015,63856,Petrol,Automatic,First,1997,153.86,5,13.7,13.96,273544
853,858,Honda Mobilio RS i DTEC,Honda,Chennai,2014,23000,Diesel,Manual,First,1498,98.6,7,24.5,6.9,295858
855,860,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Toyota,Kolkata,2011,98000,Diesel,Manual,Second,2494,102.0,8,12.8,5.5,587268
857,862,Mahindra Bolero VLX BS IV,Mahindra,Chennai,2011,99000,Diesel,Manual,Second,2523,63.0,7,13.6,4.5,404065
858,863,Volkswagen Vento 1.5 TDI Comfortline,Volkswagen,Jaipur,2014,72000,Diesel,Manual,First,1498,103.2,5,20.34,4.75,687918
860,865,Maruti Zen LXi - BS III,Maruti,Mumbai,2005,102000,Petrol,Manual,First,993,60.0,5,17.3,0.7,450736
861,866,Mercedes-Benz E-Class Facelift,MercedesBenz,Coimbatore,2018,56652,Diesel,Automatic,First,2987,258.0,5,13.0,50.29,443319
864,869,Hyundai Xcent 1.2 CRDi S,Hyundai,Jaipur,2018,25302,Diesel,Manual,First,1186,73.97,5,25.4,5.9,799631
871,876,Honda City i DTEC VX,Honda,Jaipur,2014,71649,Diesel,Manual,First,1498,98.6,5,25.1,6.75,301237
873,878,Renault KWID 1.0 RXT Optional,Renault,Jaipur,2017,63262,Petrol,Manual,First,999,67.0,5,21.7,3.25,608775
874,879,Maruti Swift DDiS ZDI Plus,Maruti,Hyderabad,2018,5456,Diesel,Manual,First,1248,74.0,5,28.4,8.65,457190
875,880,Maruti Celerio VXI Optional AMT,Maruti,Pune,2017,7500,Petrol,Automatic,First,998,67.04,5,23.1,5.0,419758
879,884,Maruti Dzire VXI,Maruti,Kolkata,2011,46687,Petrol,Manual,First,1197,81.8,5,22.0,2.7,202630
880,885,Maruti Grand Vitara AT,Maruti,Chennai,2008,77000,Petrol,Automatic,Fourth,1995,163.5,5,9.7,5.5,345084
881,886,Audi TT 40 TFSI,Audi,Kolkata,2012,7000,Petrol,Automatic,First,1984,226.6,4,14.33,35.0,404580
882,887,Mercedes-Benz New C-Class C 200 CGI,MercedesBenz,Mumbai,2011,48000,Petrol,Automatic,Second,1991,184.0,5,14.74,9.75,667889
883,888,Nissan Sunny 2011-2014 Diesel XV,Nissan,Mumbai,2013,47000,Diesel,Manual,First,1461,84.8,5,21.64,4.25,486022
887,892,Maruti Swift ZDI,Maruti,Delhi,2012,52000,Diesel,Manual,First,1248,74.0,5,28.4,3.55,694057
888,893,Hyundai Accent Executive CNG,Hyundai,Hyderabad,2010,95637,CNG,Manual,Second,1495,93.7,5,13.2,1.9,740096
889,894,Mahindra Scorpio LX 2.6 Turbo,Mahindra,Hyderabad,2008,131000,Diesel,Manual,First,2609,120.0,7,10.5,3.6,626648
892,897,Datsun redi-GO T Option,Datsun,Bangalore,2016,20487,Petrol,Manual,First,799,53.64,5,22.7,2.66,747618
894,899,Toyota Camry Hybrid,Toyota,Pune,2018,17000,Petrol,Automatic,First,2494,158.2,5,19.16,32.0,525802
895,900,Honda City i DTec V,Honda,Coimbatore,2016,60805,Diesel,Manual,First,1498,98.6,5,26.0,8.07,350516
896,901,Volkswagen Jetta 2012-2014 2.0L TDI Trendline,Volkswagen,Kochi,2012,58775,Diesel,Manual,First,1968,138.1,5,19.33,5.64,333073
897,902,Audi A6 2011-2015 2.0 TDI,Audi,Hyderabad,2013,70181,Diesel,Automatic,First,1968,174.33,5,17.68,23.99,639424
900,905,Maruti Swift Dzire Vdi BSIV,Maruti,Mumbai,2008,91000,Diesel,Manual,Second,1248,73.9,5,19.3,2.85,232403
907,912,Maruti Eeco 7 Seater Standard,Maruti,Coimbatore,2012,56661,Petrol,Manual,First,1196,73.0,7,15.1,3.61,655482
908,913,Audi Q5 30 TDI quattro Premium,Audi,Coimbatore,2017,40318,Diesel,Automatic,First,1968,174.3,5,14.16,43.74,370953
909,914,Audi Q3 2.0 TDI,Audi,Chennai,2014,60000,Diesel,Automatic,First,1968,174.33,5,15.73,20.0,502012
910,915,Smart Fortwo CDI AT,Smart,Pune,2008,103000,Diesel,Automatic,Second,799,74.0,2,0.0,3.0,463125
912,917,Tata Sumo DX,Tata,Mumbai,2013,20000,Diesel,Manual,First,1978,83.1,10,14.07,5.25,649169
915,920,Tata Indigo eCS eLX BS IV,Tata,Delhi,2015,150000,Diesel,Manual,First,1396,69.01,5,25.0,2.5,294062
916,921,Volkswagen Vento TSI,Volkswagen,Chennai,2014,28000,Petrol,Automatic,First,1197,103.6,5,16.93,7.75,589081
919,924,Mitsubishi Outlander 2.4,Mitsubishi,Delhi,2010,76000,Petrol,Automatic,Second,2360,170.0,5,11.3,5.53,311693
921,926,Porsche Cayman 2009-2012 S,Porsche,Hyderabad,2010,10000,Petrol,Manual,First,3436,74.0,2,9.0,40.0,209250
923,928,Skoda Fabia 1.2 MPI Ambiente Petrol,Skoda,Pune,2011,47490,Petrol,Manual,First,1198,75.0,5,17.5,2.29,377381
925,930,Maruti Zen Estilo 1.1 LXI BSIII,Maruti,Bangalore,2007,60000,Petrol,Manual,Second,1061,64.0,5,18.2,1.65,724208
926,931,Maruti Ciaz 1.4 Delta,Maruti,Ahmedabad,2017,6006,Petrol,Manual,First,1373,91.1,5,20.73,8.25,695971
927,932,Mercedes-Benz New C-Class C 200 Avantgarde Edition C,MercedesBenz,Kochi,2011,71703,Petrol,Automatic,First,1991,181.03,5,14.74,9.14,444549
931,936,Maruti Wagon R LXI LPG BSIV,Maruti,Hyderabad,2012,72000,LPG,Manual,First,998,58.2,5,26.2,2.85,263843
932,937,Volkswagen Polo Petrol Highline 1.2L,Volkswagen,Kolkata,2011,43000,Petrol,Manual,Second,1198,73.9,5,16.47,2.1,655034
933,938,Hyundai Creta 1.6 SX Plus Diesel,Hyundai,Coimbatore,2017,63770,Diesel,Manual,First,1582,126.2,5,19.67,13.55,519211
935,940,Jeep Compass 2.0 Limited 4X4,Jeep,Mumbai,2017,52000,Diesel,Manual,First,1956,170.0,5,16.3,20.0,485395
936,941,Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,Land,Kochi,2018,31427,Diesel,Automatic,First,1999,177.0,5,15.68,59.72,757926
937,942,Maruti Baleno Alpha Diesel,Maruti,Kolkata,2016,29000,Diesel,Manual,First,1248,74.0,5,27.39,6.5,761244
